incident_id,tcg_stolen_gun,tcg_not_stolen_gun,tcg_ratio
14294,1,0,
14296,2,0,
14297,2,0,
14305,1,0,
14394,2,0,
14404,1,0,
14524,1,0,
14526,2,0,
14536,1,0,
14553,2,0,
14640,2,0,
14643,3,0,
14696,6,0,
14902,6,0,
14910,2,0,
14914,4,0,
14917,1,0,
14923,6,0,
14926,3,0,
14932,7,0,
14938,1,0,
15058,2,0,
15062,4,0,
15066,6,0,
15072,1,0,
15074,1,0,
15075,8,0,
15076,2,0,
15079,1,0,
15159,1,0,
15183,8,0,
15207,2,0,
15339,4,0,
15340,1,0,
15346,2,0,
15385,2,0,
15426,2,0,
15428,1,0,
15599,3,0,
15604,4,0,
15617,1,0,
15618,1,0,
15690,8,0,
15698,4,0,
15699,2,0,
15706,6,0,
15721,1,0,
15722,6,0,
15883,1,0,
15890,2,0,
15892,1,0,
15895,2,0,
15898,3,0,
15918,1,0,
15920,1,0,
15921,2,0,
15923,2,0,
15930,2,0,
16041,2,0,
16062,2,0,
16064,1,0,
16092,1,0,
16169,2,0,
16176,2,0,
16219,6,0,
16249,4,0,
16324,3,0,
16327,2,0,
16414,1,0,
16420,2,0,
16438,3,0,
16619,1,0,
16620,8,0,
16622,2,0,
16749,2,0,
16753,2,0,
16757,1,0,
16823,3,0,
16830,2,0,
16831,4,0,
16971,2,0,
16973,4,0,
16995,2,0,
17085,1,0,
17129,2,0,
17130,2,0,
17142,1,0,
17465,2,0,
17476,6,0,
17640,2,0,
17649,2,0,
17654,2,0,
17699,2,0,
17703,4,0,
17858,1,0,
17862,2,0,
17863,1,0,
17880,1,0,
18010,2,0,
18219,2,0,
18227,4,0,
18230,2,0,
18232,2,0,
18237,4,0,
18238,1,0,
18243,1,0,
18257,2,0,
18263,2,0,
18265,1,0,
18407,1,0,
18416,2,0,
18418,3,0,
18624,1,0,
18641,4,0,
18649,2,0,
18650,1,0,
18653,2,0,
18656,1,0,
18752,2,0,
18757,10,0,
18759,1,0,
18764,2,0,
18789,2,0,
18816,4,0,
18873,6,0,
18879,2,0,
18888,2,0,
18911,3,0,
18912,4,0,
19071,2,0,
19077,2,0,
19082,2,0,
19085,1,0,
19154,1,0,
19157,6,0,
19159,12,0,
19160,12,0,
19161,2,0,
19297,4,0,
19300,4,0,
19341,2,0,
19345,1,0,
19350,4,0,
19491,2,0,
19495,12,0,
19539,2,0,
19621,2,0,
19628,4,0,
19630,4,0,
19633,1,0,
19884,2,0,
19889,1,0,
19977,2,0,
19978,2,0,
20004,1,0,
20018,2,0,
20024,2,0,
20026,1,0,
20028,1,0,
20033,1,0,
20037,3,0,
20043,1,0,
20061,1,0,
20080,2,0,
20235,1,0,
20239,1,0,
20242,2,0,
20262,1,0,
20264,2,0,
20284,2,0,
20292,2,0,
20300,6,0,
20395,4,0,
20450,1,0,
20496,4,0,
20539,1,0,
20700,2,0,
20702,2,0,
20706,1,0,
20711,1,0,
20713,1,0,
20895,2,0,
20939,6,0,
20962,12,0,
20968,2,0,
20974,1,0,
21078,6,0,
21089,3,0,
21095,1,0,
21097,1,0,
21098,6,0,
21103,3,0,
21115,2,0,
21146,2,0,
21168,8,0,
21279,4,0,
21282,1,0,
21364,2,0,
21380,1,0,
21389,8,0,
21424,1,0,
21456,2,0,
