incident_id,tcg_stolen_gun,tcg_not_stolen_gun,tcg_ratio,IsRatioCalculated
8696,6,0,,0
8892,1,0,,0
8894,2,2,1,1
8897,4,0,,0
8902,1,0,,0
8906,10,0,,0
8932,2,0,,0
8939,3,3,1,1
8941,1,0,,0
8942,6,0,,0
8944,2,0,,0
8945,1,0,,0
8946,4,0,,0
9011,3,0,,0
9012,1,0,,0
9034,3,0,,0
9120,1,1,1,1
9131,2,0,,0
9142,2,0,,0
9166,4,2,2,1
9167,1,0,,0
9194,2,0,,0
9199,1,0,,0
9202,1,0,,0
9205,2,0,,0
9347,4,0,,0
9471,5,0,,0
9476,4,0,,0
9477,2,0,,0
9480,2,0,,0
9484,1,0,,0
9489,1,0,,0
9493,4,0,,0
9495,1,0,,0
9515,2,0,,0
9637,2,0,,0
9641,2,0,,0
9674,5,3,1.7,1
9705,2,0,,0
9796,6,0,,0
9798,3,0,,0
9799,1,0,,0
9800,5,1,5,1
9810,1,0,,0
9811,1,0,,0
9814,6,0,,0
9815,1,0,,0
9966,2,4,0.5,1
9967,1,0,,0
9974,2,0,,0
9979,5,1,5,1
9981,6,0,,0
9983,1,0,,0
10053,4,2,2,1
10104,4,0,,0
10109,4,0,,0
10140,4,0,,0
10173,6,4,1.5,1
10209,2,0,,0
10237,3,0,,0
10244,6,0,,0
10254,2,0,,0
10257,2,0,,0
10265,2,0,,0
10331,1,0,,0
10435,6,0,,0
10441,4,0,,0
10442,1,0,,0
10445,6,3,2,1
10450,1,1,1,1
10644,3,0,,0
10649,1,1,1,1
10658,3,0,,0
10659,2,0,,0
10660,6,2,3,1
10664,2,0,,0
10785,2,0,,0
10794,2,2,1,1
10904,2,0,,0
10907,4,0,,0
10941,4,0,,0
10968,6,0,,0
10976,2,0,,0
10977,2,0,,0
10978,3,0,,0
10979,1,0,,0
10980,2,0,,0
10986,6,2,3,1
11068,2,0,,0
11070,4,0,,0
11072,6,2,3,1
11189,6,0,,0
11195,2,0,,0
11196,1,0,,0
11285,4,0,,0
11286,4,0,,0
11289,2,0,,0
11293,2,1,2,1
11298,12,3,4,1
11306,1,0,,0
11389,2,0,,0
11392,1,0,,0
11393,1,0,,0
11394,1,1,1,1
11566,4,0,,0
11567,1,0,,0
11568,2,0,,0
11654,2,0,,0
11655,2,0,,0
11660,2,0,,0
11668,1,0,,0
11684,2,12,0.20000000000000001,1
11884,1,0,,0
11967,2,2,1,1
11972,1,1,1,1
12032,4,0,,0
12037,2,2,1,1
12060,1,1,1,1
12083,2,0,,0
12089,1,0,,0
12090,2,0,,0
12092,12,0,,0
12273,1,0,,0
12275,2,0,,0
12290,2,0,,0
12322,2,0,,0
12325,2,0,,0
12330,4,2,2,1
12331,4,0,,0
12333,2,0,,0
12540,4,0,,0
12544,4,2,2,1
12545,1,0,,0
12554,1,0,,0
12558,1,0,,0
12704,4,0,,0
12712,1,0,,0
12713,3,0,,0
12717,1,0,,0
12830,1,1,1,1
12869,3,1,3,1
12957,2,0,,0
12960,6,0,,0
12963,2,0,,0
12968,4,0,,0
13108,2,2,1,1
13111,4,0,,0
13114,2,0,,0
13119,6,0,,0
13120,4,0,,0
13305,1,1,1,1
13309,1,0,,0
13357,6,0,,0
13368,2,6,0.29999999999999999,1
13372,1,0,,0
13384,1,0,,0
13517,2,0,,0
13524,2,0,,0
13585,2,0,,0
13588,2,0,,0
13607,6,0,,0
13609,8,2,4,1
13611,1,0,,0
13612,2,2,1,1
13615,6,0,,0
13618,6,0,,0
13787,4,0,,0
13791,1,1,1,1
13803,2,0,,0
13804,4,0,,0
13811,4,0,,0
13813,1,1,1,1
13911,1,0,,0
13922,2,0,,0
13927,2,0,,0
13934,2,0,,0
13946,4,0,,0
13964,1,0,,0
14087,4,0,,0
14088,2,0,,0
